Maestría,Escuela,Universidad,Impartido en,Duración,Periodo,,,,,,,,,,,
Maestría en Ciencias con especialidad en Biotecnología (MBI),Escuela de Ingeniería y Ciencias,Tecnológico de Monterrey,Campus Monterrey ,2 años ,Semestral ,,,,,,,,,,,
Maestría en Nanotecnología (MNT),Escuela de Ingeniería y Ciencias,Tecnológico de Monterrey,Campus Monterrey; Campus Estado de México,2 años,Semestral ,,,,,,,,,,,
Maestría en Administración de la Energía y sus Fuentes Renovables (MER-V),Escuela de Ingeniería y Ciencias,Tecnológico de Monterrey,En línea ,2 años ,Trimestral ,,,,,,,,,,,
Maestría en Innovación para el Desarrollo Empresarial (MID-V),Escuela de Ingeniería y Ciencias,Tecnológico de Monterrey,En línea ,2 años,Trimestral ,,,,,,,,,,,
Maestría en Ingeniería con especialidad en Sistemas de Calidad y Productividad (MIP-V),Escuela de Ingeniería y Ciencias,Tecnológico de Monterrey,En línea ,2 años,Trimestral ,,,,,,,,,,,
Maestría en Ciencias con especialidad en Sistemas de Manufactura (MSM),Escuela de Ingeniería y Ciencias,Tecnológico de Monterrey,Campus Monterrey,2 años,Semestral ,,,,,,,,,,,
Maestría en Administración de Tecnologías de Información (MTI-V),Escuela de Ingeniería y Ciencias,Tecnológico de Monterrey,En línea ,2 años,Trimestral ,,,,,,,,,,,
Maestría en Ciencias Computacionales (MCC-I),Escuela de Ingeniería y Ciencias,Tecnológico de Monterrey,Campus Monterrey; Campus Estado de México,2 años,Semestral ,,,,,,,,,,,
Maestría en Gestión de la Ingeniería (MEM),Escuela de Ingeniería y Ciencias,Tecnológico de Monterrey,Campus Monterrey; Campus Santa Fe; Campus Guadalajara; Campus Estado de México,5 trimestres,Trimestral ,,,,,,,,,,,
Maestría en Ciencias de la Ingeniería (MCI),Escuela de Ingeniería y Ciencias,Tecnológico de Monterrey,Campus Monterrey; Campus Estado de México,2 años,Semestral ,,,,,,,,,,,
Maestría en Ciberseguridad (MCY-M),Escuela de Ingeniería y Ciencias,Tecnológico de Monterrey,Campus Monterrey; Campus Santa Fe; Campus Guadalajara,2 años,Trimestral ,,,,,,,,,,,
Maestría en Inteligencia Artificial Aplicada (MNA-V),Escuela de Ingeniería y Ciencias,Tecnológico de Monterrey,En línea ,7 trimestres ,Trimestral ,,,,,,,,,,,
