Diplomado,Escuela,Campus,Duración,Periodo
Administración Aduanera,Posgrados y Educacion Continua,Aula Virtual,148 horas,Mensual
Administración Avanzada de Compras,Posgrados y Educacion Continua,Live,96 horas,Mensual
Administración Estratégica de Capital Humano,Posgrados y Educacion Continua,Live,100 horas,Mensual
Administración Financiera,Posgrados y Educacion Continua,En línea,134 horas,Mensual
Administración de Proyectos de Tecnologías de Información (APTI),Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual
Administración de la Construcción,Posgrados y Educacion Continua,Aula Virtual,134 horas,Mensual
Agronegocios,Posgrados y Educacion Continua,Aula Virtual,108 horas,Mensual
Aseguramiento de la Calidad Farmacéutica,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Business Management,Posgrados y Educacion Continua,Live,110 horas,Mensual
Calidad y Productividad,Posgrados y Educacion Continua,En línea,142 horas,Mensual
Comunicación Avanzada para la Alta Dirección,Posgrados y Educacion Continua,Aula Virtual,144 horas,Mensual
Comunicación Cooporativa Estratégica,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Data Science for Business,Posgrados y Educacion Continua,Live,100 horas,Mensual
Data Science and AI: Del Concepto a Desarrollo de Aplicaciones,Posgrados y Educacion Continua,Live,120 horas,Mensual
Decisiones Estratégicas en el Retail,Posgrados y Educacion Continua,Aula Virtual,128 horas,Mensual
Decoración e Interiorismo,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Derecho Coorporativo,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Derecho Fiscal,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Desarrollo de Competencias Generales,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual
Desarrollo de Habilidades en Contabilidad; Impuestos y Finanzas,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
Desarrollo de Habilidades para Gerentes y Ejecutivos de Ventas,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
Desarrollo de Vendedores de Alto Potencial,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual
Despliegue de Modelos de Machine Learning en Ambientes Productivos,Posgrados y Educacion Continua,Aula Virtual,100 horas,Mensual
Dirección Estratégica de Almacenes y Centros de Distribución,Posgrados y Educacion Continua,Presencial en Campus Monterrey,112 horas,Mensual
Dirección Estratégica de Almacenes y Centros de Distribución,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual
Dirección Estratégica de Ventas,Posgrados y Educacion Continua,En línea,153 horas,Mensual
Dirección Estratégica de Ventas,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual
Dirección Financiera Cooporativa,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Diseño Regenerativo. Territorios y Ciudades Resilientes,Posgrados y Educacion Continua,Aula Virtual,100 horas,Mensual
Diseño de Joyería: De la Marca a la Pieza,Posgrados y Educacion Continua,Aula Virtual,124 horas,Mensual
Escalas de la Ciudad: Vivienda; Barrio; Territorio,Posgrados y Educacion Continua,Aula Virtual,104 horas,Mensual
Especialización en Management Financiero,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Estrategia de Negocios,Posgrados y Educacion Continua,Live,100 horas,Mensual
Evaluación de Riesgos y Control Interno,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
Finanzas Bursátiles Aplicadas,Posgrados y Educacion Continua,Aula Virtual,152 horas,Mensual
Finanzas para Profesionistas no financieros en la Industria,Posgrados y Educacion Continua,Aula Virtual,108 horas,Mensual
Fintech & Transformación Digital,Posgrados y Educacion Continua,Aula Virtual,101 horas,Mensual
Formación Estratégica para Gerentes de Alto Desempeño,Posgrados y Educacion Continua,Live,100 horas,Mensual
Gestión Integral del Transporte,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
Gestión Profesional de Proyectos,Posgrados y Educacion Continua,Aula Virtual,100 horas,Mensual
Gestión Profesional Ágil de Proyectos. Principios; Valores y Metodologías,Posgrados y Educacion Continua,Live,120 horas,Mensual
Gestión de la Seguridad de la Información,Posgrados y Educacion Continua,Aula Virtual,124 horas,Mensual
Gestión y Dirección Financiera,Posgrados y Educacion Continua,Live,100 horas,Mensual
Identificación; Rediseño e Innovación de Procesos,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
