ID,Program name,Program Level,School,Location,Duration,Periodo,
ARQ,Architecture,Bachelor's degree,School of Built Environment,Ciudad de México; Estado de México; Santa Fe; Guadalajara; Monterrey; Puebla; Querétaro; Sonora Norte,8 semesters,Semester-based,
IC,Civil Engineering,Bachelor's degree,School of Built Environment,Estado de México; Santa Fe; Guadalajara; Monterrey; Puebla; Querétaro,8 semesters,Semester-based,
LUB,Bachelor's Degree in Urban Planning,Bachelor's degree,School of Built Environment,Monterrey,8 semesters,Semester-based,
LEC,Bachelor's Degree in Economics,Bachelor's degree,"School of Law, Economics, and International Relations",Ciudad de México; Estado de México; Santa Fe; Monterrey; Puebla,8 semesters,Semester-based,
LED,Degree in Law,Bachelor's degree,"School of Law, Economics, and International Relations",Ciudad de México; Estado de México; Santa Fe; Monterrey; Puebla; Chihuahua; Guadalajara; Querétaro; Toluca,8 semesters,Semester-based,
LRI,Bachelor's Degree in International Relations,Bachelor's degree,"School of Law, Economics, and International Relations",Ciudad de México; Estado de México; Santa Fe; Guadalajara; Monterrey; Puebla; Querétaro,8 semesters,Semester-based,
LTP,Bachelor's Degree in Government and Public Transformation,Bachelor's degree,"School of Law, Economics, and International Relations",Ciudad de México; Monterrey,8 semesters,Semester-based,
LAD,Bachelor's Degree in Digital Art,Bachelor's degree,School of Creative Studies,Ciudad de México; Estado de México; Santa Fe; Guadalajara; Monterrey; Puebla; Querétaro,8 semesters,Semester-based,
LC,Bachelor's Degree in Communication,Bachelor's degree,School of Creative Studies,Ciudad de México; Estado de México; Santa Fe; Guadalajara; Monterrey; Puebla; Querétaro; Toluca,8 semesters,Semester-based,
LDI,Bachelor's Degree in Design,Bachelor's degree,School of Creative Studies,Ciudad de México; Estado de México; Guadalajara; Monterrey; Puebla; Querétaro; Sonora Norte; Toluca,8 semesters,Semester-based,
LEI,Bachelor's Degree in Educational Innovation,Bachelor's degree,School of Creative Studies,Monterrey,8 semesters,Semester-based,
LLE,Bachelor's Degree in Hispanic Literature,Bachelor's degree,School of Creative Studies,Monterrey,8 semesters,Semester-based,
LPE,Bachelor's Degree in Journalism,Bachelor's degree,School of Creative Studies,Monterrey,8 semesters,Semester-based,
LTM,Bachelor's Degree in Music Technology and Production,Bachelor's degree,School of Creative Studies,Ciudad de México; Estado de México; Santa Fe; Guadalajara; Monterrey; Puebla; Querétaro,8 semesters,Semester-based,
IDM,Engineering in Data Science and Mathematics,Bachelor's degree,School of Engineering and Sciences,Ciudad de México; Estado de México; Guadalajara; Monterrey; Puebla; Querétaro; Sonora Norte; Toluca,8 semesters,Semester-based,
IFI,Industrial Physical Engineering,Bachelor's degree,School of Engineering and Sciences,Monterrey,8 semesters,Semester-based,
INA,Engineering in Nanotechnology,Bachelor's degree,School of Engineering and Sciences,Estado de México; Monterrey,8 semesters,Semester-based,
IAG,Biosystems Agricultural Engineering,Bachelor's degree,School of Engineering and Sciences,Querétaro,8 semesters,Semester-based,
IAL,Food Engineering,Bachelor's degree,School of Engineering and Sciences,Monterrey; Querétaro,8 semesters,Semester-based,
IBT,Biotechnology Engineering,Bachelor's degree,School of Engineering and Sciences,Ciudad de México; Estado de México; Chihuahua; Guadalajara; Monterrey; Puebla; Querétaro; Toluca,8 semesters,Semester-based,
IDS,Engineering in Sustainable Development,Bachelor's degree,School of Engineering and Sciences,Querétaro; Ciudad de México; Santa Fe; Monterrey,8 semesters,Semester-based,
IQ,Chemical Engineering,Bachelor's degree,School of Engineering and Sciences,Puebla; Estado de México; Guadalajara; Monterrey,8 semesters,Semester-based,
IRS,Engineering in Robotics and Digital Systems,Bachelor's degree,School of Engineering and Sciences,Querétaro; Puebla; Ciudad de México; Estado de México; Guadalajara; Monterrey,8 semesters,Semester-based,
ITC,Engineering in Computational Technologies,Bachelor's degree,School of Engineering and Sciences,Querétaro; Toluca; Puebla; Chihuahua; Cuernavaca; Guadalajara; Ciudad de México; Estado de México; Sonora Norte; Santa Fe; Monterrey,8 semesters,Semester-based,
ITD,Engineering in Digital Business Transformation,Bachelor's degree,School of Engineering and Sciences,Santa Fe; Monterrey,8 semesters,Semester-based,
IE,Electronic Engineering,Bachelor's degree,School of Engineering and Sciences,Monterrey,8 semesters,Semester-based,
IID,Engineering in Innovation and Development,Bachelor's degree,School of Engineering and Sciences,Guadalajara; Santa Fe; Monterrey,8 semesters,Semester-based,
IIS,Industrial and Systems Engineering,Bachelor's degree,School of Engineering and Sciences,Chihuahua; Laguna; Saltillo; Tampico; Hidalgo; León; Querétaro; San Luis Potosí; Toluca; Puebla; Ciudad de México; Estado de México; Cuernavaca; Guadalajara; Sinaloa; Sonora Norte; Aguascalientes; Santa Fe; Monterrey; Ciudad Juárez,8 semesters,Semester-based,
IM,Mechanical Engineering,Bachelor's degree,School of Engineering and Sciences,Chihuahua; Querétaro; Toluca; Puebla; Ciudad de México; Estado de México; Guadalajara; Santa Fe; Monterrey,8 semesters,Semester-based,
IMD,Biomedical Engineering,Bachelor's degree,School of Engineering and Sciences,Ciudad de México; Guadalajara; Monterrey,8 semesters,Semester-based,
IMT,Mechatronics Engineering,Bachelor's degree,School of Engineering and Sciences,Chihuahua; Laguna; Saltillo; Tampico; León; Querétaro; San Luis Potosí; Toluca; Puebla; Ciudad de México; Estado de México; Cuernavaca; Guadalajara; Sonora Norte; Aguascalientes; Santa Fe; Morelia; Monterrey; Ciudad Juárez,8 semesters,Semester-based,
LAE,Bachelor's Degree in Business Strategy and Transformation,Bachelor's degree,Business School,Chihuahua; Laguna; Saltillo; Tampico; Hidalgo; León; Querétaro; San Luis Potosí; Toluca; Puebla; Ciudad de México; Estado de México; Cuernavaca; Guadalajara; Sinaloa; Sonora Norte; Aguascalientes; Santa Fe; Morelia; Monterrey; Ciudad Juárez,8 semesters,Semester-based,
LAF,Bachelor's Degree in Finance,Bachelor's degree,Business School,Chihuahua; Laguna; León; Querétaro; San Luis Potosí; Puebla; Ciudad de México; Estado de México; Cuernavaca; Guadalajara; Sinaloa; Sonora Norte; Aguascalientes; Santa Fe; Monterrey,8 semesters,Semester-based,
LCPF,Bachelor's Degree in Public Accounting and Finance,Bachelor's degree,Business School,Hidalgo; Querétaro; Puebla; Toluca; Ciudad de México; Estado de México; Guadalajara; Santa Fe; Monterrey,8 semesters,Semester-based,
LDE,Bachelor's Degree in Entrepreneurship,Bachelor's degree,Business School,Querétaro; Puebla; Ciudad de México; Guadalajara; Santa Fe; Monterrey,8 semesters,Semester-based,
LDO,Bachelor's Degree in Talent Development and Organizational Culture,Bachelor's degree,Business School,Estado de México; Monterrey,8 semesters,Semester-based,
LEM,Bachelor's Degree in Marketing,Bachelor's degree,Business School,León; Querétaro; Toluca; Puebla; Ciudad de México; Estado de México; Guadalajara; Sinaloa; Sonora Norte; Santa Fe; Monterrey,8 semesters,Semester-based,
